"method","split","acc_mean","acc_std"
"relationnet","train","64","16.257192140597226"
"relationnet","val","50.22222222222223","2.2662308949301275"
"relationnet","test","52","15.08494466531301"
"relationnet","train","69.55555555555554","7.780951733338489"
"relationnet","val","17.777777777777775","1.36986977843755"
"relationnet","test","19.25925925925926","3.2003657769915366"
"relationnet","train","57.333333333333336","11.469767022723502"
"relationnet","val","45.333333333333336","12.268598881637564"
"relationnet","test","49.77777777777777","16.62958838566196"
"relationnet","train","87.55555555555556","4.399775527382958"
"relationnet","val","33.77777777777778","2.514157444218837"
"relationnet","test","24.691358024691358","1.9441994750646452"
"relationnet","train","66.66666666666667","18.118948542790676"
"relationnet","val","56.44444444444445","6.562143582325956"
"relationnet","test","38.22222222222222","13.611904738767603"
