"method","split","acc_mean","acc_std"
"relationnet","test","51.555555555555564","1.2570787221094166"
"relationnet","train","97.33333333333333","0.9428090415820634"
"relationnet","val","38.22222222222222","5.230489909306585"
"relationnet","test","33.086419753086425","4.619330107128322"
"relationnet","train","64.88888888888889","17.59910210953185"
"relationnet","val","51.55555555555555","18.29254722422816"
"relationnet","test","65.33333333333333","10.722078294946506"
"relationnet","train","95.33333333333333","4.838120234906053"
"relationnet","val","43.111111111111114","9.511526470681202"
"relationnet","test","40.98765432098765","2.9834681416282884"
"relationnet","train","72.8888888888889","15.71348402636772"
"relationnet","val","50.22222222222223","12.04108194146139"
"relationnet","test","47.11111111111111","10.289632802480197"
"relationnet","train","67.77777777777779","6.1903947898596074"
"relationnet","val","41.55555555555555","8.508528764034065"
"relationnet","test","33.58024691358025","0.6983770678385652"
"relationnet","train","66.66666666666667","11.048713684138713"
"relationnet","val","52","13.244146156223415"
"relationnet","test","44","12.555063903844918"
"relationnet","train","82.88888888888889","7.969076034240491"
"relationnet","val","29.333333333333332","5.682983045575299"
"relationnet","test","22.46913580246914","4.116872098897054"
"relationnet","train","50.666666666666664","12.364824660660938"
"relationnet","val","26.66666666666667","11.048713684138715"
"relationnet","test","39.11111111111111","19.023052941362394"
"relationnet","train","86.22222222222223","2.266230894930123"
"relationnet","val","30","4.320493798938573"
"relationnet","test","31.604938271604937","2.9834681416282884"
"relationnet","train","78.66666666666667","6.061414087549272"
"relationnet","val","48.44444444444445","6.651835354264785"
"relationnet","test","46.22222222222223","8.731947868617112"
"relationnet","train","94","0.94280904158207"
"relationnet","val","30","3.3993463423951877"
"relationnet","test","35.06172839506173","1.2590171638500731"
